scenario_id,plan_id,source_id,name,year,period,available_months,period_fraction,capacity_t_per_year,reserved_capacity_t,reserved_period_t,ordered_t,planned_delivery_t,actual_delivery_t,delivery_share,price_mln_per_t,price_multiplier,payable_volume_t,take_or_pay_idle_t,procurement_mln,reservation_payment_mln,take_or_pay_topup_mln
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,B,Earth-Flex,2034,prep,1,1.000000,110.000000,12.909800,12.909800,12.909800,12.909800,12.328859,1.000000,8.900000,1.000000,12.909800,0.000000,114.897220,1.936470,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,A,Earth-Core,2035,year,12,1.000000,190.000000,109.876000,109.876000,109.876000,109.876000,109.876000,1.000000,6.200000,1.000000,109.876000,0.000000,681.231200,49.444200,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,B,Earth-Flex,2035,year,12,1.000000,110.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,8.900000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,C,Earth-New,2035,year,0,0.000000,130.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,7.100000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,D,Lunar-ISRU,2035,year,0,0.000000,120.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,E,Emergency,2035,year,12,1.000000,80.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,13.800000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,X,Source-X,2035,year,0,0.000000,60.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,5.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,A,Earth-Core,2036,year,12,1.000000,190.000000,153.052000,153.052000,153.051800,153.051800,153.051800,1.000000,6.200000,1.000000,153.051800,0.000000,948.921160,68.873400,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,B,Earth-Flex,2036,year,12,1.000000,110.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,8.900000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,C,Earth-New,2036,year,0,0.000000,130.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,7.100000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,D,Lunar-ISRU,2036,year,0,0.000000,120.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,E,Emergency,2036,year,12,1.000000,80.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,13.800000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,X,Source-X,2036,year,0,0.000000,60.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,5.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,A,Earth-Core,2037,year,12,1.000000,190.000000,190.000000,190.000000,190.000000,190.000000,190.000000,1.000000,6.200000,1.000000,190.000000,0.000000,1178.000000,85.500000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,B,Earth-Flex,2037,year,12,1.000000,110.000000,13.189000,13.189000,13.188200,13.188200,13.188200,1.000000,8.900000,1.000000,13.188200,0.000000,117.374980,1.978350,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,C,Earth-New,2037,year,0,0.000000,130.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,7.100000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,D,Lunar-ISRU,2037,year,0,0.000000,120.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,E,Emergency,2037,year,12,1.000000,80.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,13.800000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,X,Source-X,2037,year,0,0.000000,60.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,5.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TEAM_2041_SOURCE_X,P3_isru_zbo_ext2041,A,Earth-Core,2038,year,12,1.000000,190.000000,161.772000,161.772000,161.771400,161.771400,161.771400,1.000000,6.200000,1.000000,161.771400,0.000000,1002.982680,72.797400,0.000000
